
Event      Latitude Longitude     Depth  Origin Time                      Page
110626       35.046  -111.513     3.500   10:41:28.4                        1 
 
Stat.  N     Delta   Azimuth    Backaz  Take-off     P-time     S-time
P03    0      3.85     33.01    214.60     50.02   10:42:29.8  10:43:16.3
P15    0      4.09     35.64    217.44     50.02   10:42:33.2  10:43:22.4
PV08   0      4.21     32.29    214.00     50.02   10:42:34.8  10:43:25.3
PV09   0      3.94     28.30    209.71     50.02   10:42:31.0  10:43:18.5
PV10   0      3.87     30.16    211.63     50.02   10:42:30.0  10:43:16.8
RMU    0      2.07     12.10    192.41     50.50   10:42: 4.4  10:42:31.2
ROA    0      4.70     10.89    191.58     50.02   10:42:41.8  10:43:37.7
RTNM   0      6.04     71.81    255.98     49.54   10:43: 0.8  10:44:11.5
RUN    0      3.54    235.27     53.34     50.02   10:42:25.4  10:43: 8.5
RVR    0      4.95    259.42     76.11     50.02   10:42:45.4  10:43:44.1
SBB    0      5.20    267.87     84.27     49.43   10:42:48.9  10:43:50.4
SHH    0      3.52    257.11     74.77     50.02   10:42:25.1  10:43: 7.9
SLC    0      5.71    357.44    177.24     49.43   10:42:56.1  10:44: 3.3
SMC    0      5.06     38.73    221.16     49.43   10:42:46.9  10:43:46.8
SNM    0      3.89    103.18    285.76     50.02   10:42:30.4  10:43:17.4
SNO    0      4.26    359.74    179.72     50.02   10:42:35.6  10:43:26.6
SRF    0      3.74    101.72    284.23     50.02   10:42:28.2  10:43:13.5
SRM    0      3.87     99.15    281.77     50.02   10:42:29.9  10:43:16.6
SRU    0      4.13     10.74    191.33     50.02   10:42:33.8  10:43:23.4
TDM    0      2.81    174.04    354.23     50.50   10:42:14.9  10:42:49.9
TMTA   0      2.43    322.86    141.79     50.50   10:42: 9.6  10:42:40.4
TNCL   0      3.76    258.24     75.73     50.02   10:42:28.4  10:43:13.8
TPC    0      3.86    257.22     74.66     50.02   10:42:29.8  10:43:16.4
TPH    0      5.50    305.00    121.61     49.43   10:42:53.1  10:43:57.9
UBO    0      5.49     15.74    196.92     49.43   10:42:52.9  10:43:57.6
VNUT   0      5.66     15.11    196.29     49.43   10:42:55.4  10:44: 2.0
WADU   0      2.59    322.49    141.33     50.50   10:42:11.8  10:42:44.4
WCU    0      3.94    353.44    173.09     50.02   10:42:31.0  10:43:18.5

Event      Latitude Longitude     Depth  Origin Time                      Page
110626       35.046  -111.513     3.500   10:41:28.4                        3 
 
Stat.  N     Delta   Azimuth    Backaz  Take-off     P-time     S-time
-------------------------------------------------------------------------------
WDY    0      6.02    278.32     94.09     49.54   10:43: 0.5  10:44:11.0
WHF    0      5.62    278.59     94.64     49.43   10:42:54.8  10:44: 1.0
WHS    0      3.08     69.46    251.52     50.02   10:42:18.8  10:42:56.8
WRN    0      4.40    312.91    130.49     50.02   10:42:37.6  10:43:30.2
WTX    0      3.89    103.17    285.75     50.02   10:42:30.3  10:43:17.2
W13A   0      1.95    272.26     90.93     56.76   10:42: 2.5  10:42:28.0
DUG   36      5.24    349.04    168.24     49.43   10:42:49.5  10:43:51.4
GOL   43      6.74     44.66    228.38     49.54   10:43:10.6  10:44:29.0
GSC   85      4.34    274.89     91.84     50.02   10:42:36.7  10:43:28.7
TUC  119      2.80    167.24    347.64     50.50   10:42:14.7  10:42:49.5
