oct. 31 2009 0402/0407 35.383 111.554 18km M=2.9
CCAZ  300.8    55.6  +1.0
FLAG  198.2    55.6  -1.0
GCN   326.7    55.6  +1.0
U15A  331.4    58.6  +1.0
WMZ   254.7    55.6  +1.0
WUAZ   38.3    55.6  +1.0
X16A  174.5    55.6  -1.0
X18A  265.4    51.8  -1.0
