DEC28,2015  22:33:56.8 36.590N -112.346W  9.4km Ml=3.6
ARUT   324.2     71.4   -1.0
BHU    337.8     71.4   +1.0
BTU     17.9     71.4   +1.0
CCAZ   177.6     90.0   +1.0
CCUT   320.0     71.4   +1.0
DWU    341.2     71.4   -1.0
EKU    346.0     90.0   +1.0
FLAG   157.9     71.4   -1.0
GCAZ   166.1     90.0   -1.0
HMU     43.1     71.4   +1.0
ICU    294.3     71.4   +1.0
KNB    318.3     90.0   +1.0
LCMT   300.6     90.0   +1.0
MMU     27.2     71.4   +1.0
MSU      4.0     71.4   -1.0
MTPU     5.0     71.4   -1.0
MVU      3.2     71.4   +1.0
NMU    348.4     71.4   -1.0
PGAZ    65.8     90.0   +1.0
PKCU     1.9     90.0   +1.0
SMAZ   248.2     90.0   +1.0
SZCU   329.6     71.4   -1.0
TSAZ   176.0     71.4   -1.0
U15A   165.0     90.0   -1.0
VRUT   306.2     71.4   +1.0
WMZ    179.2     71.4   +1.0
ZNPU   321.0     90.0   +1.0
WUAZ   143.4     71.4   +1.0
W13A   220.5     71.4   +1.0
