J-B P tables 0 to 102 degrees by 1 degree
   15    0    1  103
   0.00
  428.70  436.90  445.00  453.00  461.00  468.90  476.70  484.50  492.20  499.80
  507.30  514.70  522.10  529.40  536.60  543.80  550.90  557.90  564.90  571.80
  578.60  585.30  591.90  598.40  604.90  611.30  617.60  623.90  630.10  636.20
  642.30  648.30  654.30  660.20  666.00  671.70  677.30  682.80  688.30  693.60
  698.90  704.10  709.30  714.40  719.40  724.40  729.30  734.10  738.80  743.50
  748.20  752.80  757.50  762.10  766.60  771.20  775.70  780.30  784.80  789.40
  793.90  798.40  802.80
 350.00
   43.90   45.90   51.60   59.70   69.40   80.10   91.40  103.10  114.90  126.80
  138.80  150.80  162.80  174.70  186.30  197.00  207.60  218.00  228.10  238.10
  247.90  257.60  267.20  276.50  285.70  294.70  303.80  312.80  321.70  330.50
  339.20  347.80  356.40  364.90  373.40  381.80  390.20  398.50  406.80  415.00
  423.20  431.30  439.40  447.40  455.40  463.30  471.10  478.80  486.50  494.10
  501.60  509.00  516.40  523.70  530.90  538.00  545.10  552.00  558.90  565.80
  572.50  579.10  585.70  592.20  598.60  605.00  611.30  617.60  623.70  629.80
  635.90  641.90  647.80  653.70  659.50  665.20  670.80  676.30  681.70  687.00
  692.30  697.50  702.70  707.70  712.80  717.70  722.50  727.30  732.10  736.70
  741.40  746.00  750.70  755.30  759.80  764.40  769.00  773.50  778.00  782.60
  787.10  791.50  795.90
 413.00
   51.10   52.70   57.60   64.60   73.40   83.30   93.70  104.80  116.10  127.50
  139.00  150.60  161.80  172.90  183.60  194.00  204.10  214.20  224.30  234.10
  243.80  253.40  262.00  272.00  281.10  290.10  299.10  308.00  316.80  325.50
  334.20  342.80  351.40  359.90  368.40  376.80  385.20  393.50  401.70  409.90
  418.10  426.20  434.20  442.20  450.10  458.00  465.80  473.50  481.10  488.70
  496.20  503.60  511.00  518.30  525.50  532.60  539.60  546.50  553.30  560.00
  566.70  573.30  579.90  586.40  592.80  599.20  605.50  611.70  617.80  623.90
  629.90  635.80  641.70  647.50  653.20  658.80  664.40  669.90  675.30  680.60
  685.90  691.10  696.20  701.30  706.30  711.20  716.00  720.80  725.50  730.20
  734.80  739.40  744.10  748.70  753.20  757.80  762.40  766.90  771.50  776.00
  780.40  784.80  789.20
 477.00
   58.00   59.30   63.40   69.70   77.50   86.50   96.30  106.50  117.10  127.90
  138.60  149.30  159.90  170.50  180.90  191.10  201.20  211.20  221.10  230.80
  240.30  249.70  259.00  268.10  277.10  286.10  295.00  303.90  312.60  321.40
  330.00  338.60  347.10  355.50  363.90  372.30  380.60  388.90  397.10  405.30
  413.40  421.50  429.50  437.40  445.30  453.10  460.80  468.50  476.10  483.60
  491.10  498.50  505.80  513.00  520.10  527.20  534.20  541.00  547.80  554.50
  561.20  567.80  574.40  580.90  587.30  593.60  599.80  606.00  612.10  618.10
  624.10  630.00  635.80  641.60  647.30  652.90  658.40  663.90  669.30  674.60
  679.80  685.00  690.10  695.10  700.10  705.00  709.80  714.60  719.30  724.00
  728.60  733.20  737.80  742.40  747.00  751.50  756.00  760.60  765.10  769.60
  774.10  778.50  782.90
 540.00
   64.50   65.70   69.20   74.80   81.70   89.90   98.90  108.40  118.30  128.40
  138.60  148.80  158.90  169.10  179.20  189.20  199.00  208.70  218.40  227.90
  237.30  246.50  255.70  264.70  273.70  282.60  291.40  300.20  309.00  317.60
  326.20  334.70  343.20  351.60  360.00  368.30  376.60  384.80  392.90  401.00
  409.10  417.10  425.10  433.00  440.80  448.60  456.30  463.90  471.50  479.00
  486.40  493.70  501.00  508.10  515.20  522.20  529.10  536.00  542.80  549.50
  556.10  562.70  569.20  575.60  582.00  588.30  594.50  600.70  606.80  612.80
  618.70  624.60  630.40  636.10  641.70  647.30  652.80  658.20  663.60  668.90
  674.10  679.30  684.30  689.40  694.30  699.20  704.00  708.70  713.40  718.10
  722.70  727.30  731.90  736.50  741.10  745.60  750.10  754.70  759.20  763.70
  768.20  772.60  777.00
 603.00
   70.80   72.00   74.80   79.80   86.20   93.50  101.80  110.60  119.80  129.30
  138.90  148.70  158.60  168.50  178.20  187.90  197.50  206.90  216.30  225.60
  234.80  243.90  253.00  261.90  270.80  279.60  288.40  297.10  305.70  314.30
  322.80  331.30  339.70  348.10  356.40  364.70  372.90  381.10  389.30  397.40
  405.40  413.40  421.30  429.10  436.90  446.60  452.20  459.80  467.30  474.80
  482.10  489.40  496.50  503.60  510.60  517.60  524.50  531.30  538.10  544.80
  551.40  557.90  564.40  570.80  577.10  583.40  589.60  595.70  601.70  607.70
  613.60  619.40  625.20  630.90  636.50  642.10  647.60  653.00  658.30  663.60
